date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:22	50172/50172	---M--	200	added ('OK')	image/png	date:Thu,%2021%20Oct%202021%2016:28:52%20GMT	https://validacion.escalabs.com/assets/img/escalabs.png	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/img/escalabs.png	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:24	287630/287630	---M--	200	added ('OK')	application/javascript	date:Mon,%2022%20Mar%202021%2003:55:06%20GMT	https://validacion.escalabs.com/assets/dist/js/jquery-3.5.1.js	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/dist/js/jquery-3.5.1.js	(from https://validacion.escalabs.com/index.php?idSolicitud=1520829&idPaciente=447792)
16:45:25	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:27	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400d41d.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:28	76612/76612	---M--	200	added ('OK')	font/woff2	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff2	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:28	89824/89824	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.woff	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:29	132728/132728	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.ttf	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:29	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:30	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.eot?	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400d41d.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:30	13584/13584	---M--	200	added ('OK')	font/woff2	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.woff2	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:30	16800/16800	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.woff	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.woff	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:31	34092/34092	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.ttf	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.ttf	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:38	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.eot?	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900d41d.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:39	144322/144322	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-regular-400.svg	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:40	202902/202902	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.eot	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.eot	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:43	79444/79444	---M--	200	added ('OK')	font/woff2	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff2	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff2	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:50	103300/103300	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.woff	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:51	202616/202616	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.ttf	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.ttf	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:45:56	715890/715890	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-brands-400.svg	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
16:46:08	897426/897426	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2019%20May%202020%2020:41:12%20GMT	https://validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/Covid/validacion.escalabs.com/assets/plugins/fontawesome-free/webfonts/fa-solid-900.svg	(from https://validacion.escalabs.com/assets/plugins/fontawesome-free/css/all.min.css)
